# full_text.txt
MT   47635 0.069
RV   47280 0.069
OK   47078 0.069
RF   47039 0.069
GN   46664 0.068
YM   46619 0.068
NH   45837 0.067
XP   45780 0.067
LC   44150 0.064
FL   43917 0.064
OE   43617 0.064
MY   43346 0.063
WN   43254 0.063
RW   42885 0.063
RB   42882 0.063
DL   42793 0.062
TD   42103 0.061
EQ   41748 0.061
LF   41228 0.060
YD   41086 0.060
IZ   40650 0.059
LP   40289 0.059
YR   39795 0.058
UK   39655 0.058
GL   39460 0.058
HS   39263 0.057
KA   37010 0.054
KS   36997 0.054
PS   36470 0.053
RH   36448 0.053
NR   36332 0.053
NV   36170 0.053
YF   34979 0.051
FS   34724 0.051
YH   34518 0.050
DG   33962 0.050
YL   33839 0.049
HH   33609 0.049
VO   33371 0.049
LM   32703 0.048
WS   32647 0.048
SG   32236 0.047
FC   31995 0.047
HW   31646 0.046
OY   31547 0.046
ZE   31378 0.046
TN   31365 0.046
AA   31138 0.045
BS   31075 0.045
SK   31040 0.045
CY   30662 0.045
EK   30122 0.044
JO   29915 0.044
WT   29487 0.043
LB   27837 0.041
YN   27157 0.040
HC   26718 0.039
FP   26682 0.039
TG   26331 0.038
HM   26298 0.038
LW   25949 0.038
KT   25937 0.038
LR   25885 0.038
MH   25572 0.037
GG   25342 0.037
CS   24869 0.036
GC   23403 0.034
GF   23008 0.034
FM   22827 0.033
GM   22699 0.033
XT   22394 0.033
II   22329 0.033
XI   22222 0.032
HN   21657 0.032
XA   21002 0.031
GP   20783 0.030
GW   20670 0.030
JE   20077 0.029
IW   19861 0.029
YG   19825 0.029
KO   19510 0.028
HB   19348 0.028
FH   19117 0.028
LV   18636 0.027
FY   18255 0.027
HP   18238 0.027
ZA   17641 0.026
EJ   17446 0.025
HL   17374 0.025
WR   17343 0.025
GY   17231 0.025
LG   17033 0.025
YU   16757 0.024
GB   16737 0.024
DV   16708 0.024
OX   16421 0.024
LH   16131 0.024
FB   16126 0.024
LK   16115 0.023
MW   15725 0.023
IH   15703 0.023
FW   15597 0.023
FD   15522 0.023
MC   15068 0.022
TK   15030 0.022
JA   14840 0.022
WY   14702 0.021
UF   14408 0.021
GD   14338 0.021
WW   14156 0.021
NJ   13919 0.020
AO   13842 0.020
XC   13753 0.020
HD   13658 0.020
CD   13172 0.019
AE   12971 0.019
HF   12958 0.019
SV   12902 0.019
IU   12793 0.019
IX   12783 0.019
SJ   12479 0.018
FG   12405 0.018
LN   12165 0.018
MN   12138 0.018
PM   11960 0.017
XE   11907 0.017
AX   11435 0.017
MF   11194 0.016
YY   10957 0.016
MR   10801 0.016
BT   10764 0.016
AZ   10740 0.016
FN   10627 0.015
ML   10504 0.015
AJ   10210 0.015
DJ   10172 0.015
PC   10038 0.015
TV   10031 0.015
CP    9937 0.014
ZI    9884 0.014
UO    9315 0.014
TJ    9135 0.013
KY    8926 0.013
KL    8856 0.013
KW    8663 0.013
HG    8616 0.013
UY    8577 0.013
MD    8469 0.012
SQ    8235 0.012
WL    8188 0.012
BB    8172 0.012
PY    8036 0.012
WM    7710 0.011
BJ    7553 0.011
PW    7486 0.011
YV    7447 0.011
UW    7430 0.011
KF    7350 0.011
CM    7320 0.011
KH    7250 0.011
PB    7141 0.010
CF    7094 0.010
MG    7091 0.010
WP    7083 0.010
WB    6990 0.010
WD    6697 0.010
KM    6500 0.009
PF    6483 0.009
OJ    6462 0.009
WC    6416 0.009
KB    6262 0.009
KU    6206 0.009
XO    6054 0.009
KC    5983 0.009
YK    5979 0.009
BC    5895 0.009
YJ    5798 0.008
IQ    5741 0.008
IJ    5665 0.008
DK    5626 0.008
CB    5596 0.008
KP    5534 0.008
RJ    5342 0.008
PD    5303 0.008
WU    5119 0.007
WF    5063 0.007
BM    4966 0.007
KR    4860 0.007
CG    4760 0.007
AQ    4698 0.007
FV    4687 0.007
BP    4481 0.007
KG    4333 0.006
ZO    4275 0.006
